                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58838,                0.72461,                 1.2033,                0.94847,                0.98792,                  0.995,                0.90824,                0.43452,                0.50683,                0.96236,               0.029586,             0.00058587,             0.00058587
                     36,                0.48461,                0.65829,                 1.1188,                0.94847,                0.98792,                  0.995,                0.90824,                0.43452,                0.50683,                0.96236,               0.027599,             0.00059873,             0.00059873
                     37,                0.60137,                0.80566,                 1.2078,                0.95647,                0.99712,                  0.995,                0.90824,                0.43423,                0.48938,                0.96622,               0.025611,             0.00061139,             0.00061139
                     38,                0.56645,                0.67056,                  1.124,                 0.9603,                      1,                  0.995,                 0.9358,                0.42389,                0.44912,                0.96632,               0.023624,             0.00062385,             0.00062385
                     39,                0.56946,                0.73165,                 1.1798,                 0.9603,                      1,                  0.995,                 0.9358,                0.42389,                0.44912,                0.96632,               0.021636,              0.0006361,              0.0006361
                     40,                 0.5309,                0.69813,                 1.1953,                0.96662,                      1,                  0.995,                0.93581,                0.41913,                0.44588,                0.96114,               0.019648,             0.00064816,             0.00064816
                     41,                0.60664,                0.78879,                 1.1803,                0.97568,                      1,                  0.995,                0.93581,                 0.4313,                0.43974,                0.96849,                0.01766,             0.00066002,             0.00066002
                     42,                0.52458,                0.60654,                 1.1193,                0.97568,                      1,                  0.995,                0.93581,                 0.4313,                0.43974,                0.96849,               0.015672,             0.00067168,             0.00067168
                     43,                0.57635,                0.68186,                 1.1269,                0.97338,                      1,                  0.995,                0.93581,                0.43788,                0.45138,                0.96494,               0.013683,             0.00068314,             0.00068314
                     44,                0.49707,                0.58578,                 1.0877,                0.97338,                      1,                  0.995,                0.93581,                0.43788,                0.45138,                0.96494,               0.011694,              0.0006944,              0.0006944
                     45,                0.50655,                0.64162,                 1.1298,                0.97405,                      1,                  0.995,                0.91407,                0.43099,                0.44211,                0.95776,              0.0097055,             0.00070545,             0.00070545
                     46,                0.58858,                0.65257,                 1.1278,                0.97405,                      1,                  0.995,                0.91407,                0.43099,                0.44211,                0.95776,              0.0077163,             0.00071631,             0.00071631
                     47,                0.63143,                0.66425,                 1.2158,                0.96982,                      1,                  0.995,                0.91407,                0.43304,                0.43266,                 0.9623,               0.005727,             0.00072697,             0.00072697
                     48,                0.53779,                0.60058,                 1.1681,                0.96982,                      1,                  0.995,                0.91407,                0.43304,                0.43266,                 0.9623,              0.0037374,             0.00073743,             0.00073743
                     49,                0.55941,                0.61197,                 1.1861,                0.97284,                      1,                  0.995,                0.93894,                0.43134,                0.40806,                0.96735,              0.0017477,             0.00074769,             0.00074769
                     50,                0.45206,                0.54225,                 1.0352,                0.97284,                      1,                  0.995,                0.93894,                0.43134,                0.40806,                0.96735,             0.00075025,             0.00075025,             0.00075025
                     51,                0.53598,                0.54874,                 1.1574,                0.98438,                      1,                  0.995,                0.92033,                0.41748,                 0.3807,                0.96543,             0.00075025,             0.00075025,             0.00075025
                     52,                0.47301,                0.51169,                 1.0971,                0.98438,                      1,                  0.995,                0.92033,                0.41748,                 0.3807,                0.96543,             0.00074526,             0.00074526,             0.00074526
                     53,                0.56511,                0.60907,                 1.1243,                0.98337,                      1,                  0.995,                0.92033,                0.41761,                0.37747,                 0.9644,             0.00074026,             0.00074026,             0.00074026
                     54,                0.48548,                0.55368,                 1.1865,                0.98337,                      1,                  0.995,                0.92033,                0.41761,                0.37747,                 0.9644,             0.00073526,             0.00073526,             0.00073526
                     55,                0.64399,                 0.6131,                 1.2794,                0.98151,                      1,                  0.995,                0.92033,                  0.416,                0.38783,                0.96685,             0.00073027,             0.00073027,             0.00073027
                     56,                0.61441,                0.65536,                 1.1916,                0.98151,                      1,                  0.995,                0.92033,                  0.416,                0.38783,                0.96685,             0.00072528,             0.00072528,             0.00072528
                     57,                0.51716,                0.53795,                 1.1205,                0.98222,                      1,                  0.995,                0.92033,                0.42525,                0.38924,                0.96696,             0.00072028,             0.00072028,             0.00072028
                     58,                 0.4702,                0.48944,                 1.0785,                0.98222,                      1,                  0.995,                0.92033,                0.42525,                0.38924,                0.96696,             0.00071529,             0.00071529,             0.00071529
                     59,                0.47782,                0.53935,                  1.099,                0.98421,                      1,                  0.995,                0.92034,                0.43451,                0.37091,                0.97158,             0.00071029,             0.00071029,             0.00071029
                     60,                0.61992,                0.59511,                 1.1983,                0.98421,                      1,                  0.995,                0.92034,                0.43451,                0.37091,                0.97158,              0.0007053,              0.0007053,              0.0007053
                     61,                0.46598,                0.52326,                 1.1284,                0.97241,                      1,                  0.995,                0.92034,                0.43664,                0.36148,                0.96916,              0.0007003,              0.0007003,              0.0007003
                     62,                0.54107,                0.61934,                 1.1805,                0.97241,                      1,                  0.995,                0.92034,                0.43664,                0.36148,                0.96916,             0.00069531,             0.00069531,             0.00069531
                     63,                0.49486,                0.48906,                 1.1619,                0.96921,                      1,                  0.995,                0.93896,                0.43435,                0.36377,                0.96701,             0.00069031,             0.00069031,             0.00069031
                     64,                0.52859,                0.62366,                 1.1125,                0.96921,                      1,                  0.995,                0.93896,                0.43435,                0.36377,                0.96701,             0.00068532,             0.00068532,             0.00068532
                     65,                0.52066,                0.43585,                 1.1428,                0.96307,                      1,                  0.995,                0.93896,                0.43485,                0.36253,                0.96951,             0.00068032,             0.00068032,             0.00068032
                     66,                0.51618,                 0.4436,                 1.1181,                0.96307,                      1,                  0.995,                0.93896,                0.43485,                0.36253,                0.96951,             0.00067533,             0.00067533,             0.00067533
                     67,                0.55586,                0.50887,                 1.1251,                0.95874,                      1,                  0.995,                0.93897,                0.43633,                0.35711,                0.97065,             0.00067033,             0.00067033,             0.00067033
                     68,                0.52358,                0.48687,                 1.1462,                0.95874,                      1,                  0.995,                0.93897,                0.43633,                0.35711,                0.97065,             0.00066533,             0.00066533,             0.00066533
                     69,                0.46107,                 0.4434,                 1.0845,                0.96389,                      1,                  0.995,                0.93896,                0.44979,                0.34924,                0.97963,             0.00066034,             0.00066034,             0.00066034
                     70,                0.43555,                0.43126,                 1.0531,                0.96389,                      1,                  0.995,                0.93896,                0.44979,                0.34924,                0.97963,             0.00065535,             0.00065535,             0.00065535
                     71,                0.45609,                0.48589,                 1.0666,                0.97714,                      1,                  0.995,                0.94209,                0.44773,                0.32553,                0.98066,             0.00065035,             0.00065035,             0.00065035
                     72,                0.40153,                0.39861,                 1.0451,                0.97714,                      1,                  0.995,                0.94209,                0.44773,                0.32553,                0.98066,             0.00064536,             0.00064536,             0.00064536
                     73,                0.46836,                0.47627,                 1.0651,                0.97059,                      1,                  0.995,                0.92562,                0.45139,                0.33367,                0.98377,             0.00064036,             0.00064036,             0.00064036
                     74,                0.44661,                0.48188,                 1.0999,                0.97059,                      1,                  0.995,                0.92562,                0.45139,                0.33367,                0.98377,             0.00063536,             0.00063536,             0.00063536
                     75,                0.40908,                0.42035,                 1.0468,                0.95975,                      1,                  0.995,                0.90286,                0.46701,                0.35919,                0.99829,             0.00063037,             0.00063037,             0.00063037
                     76,                 0.5128,                0.47277,                 1.1858,                0.95975,                      1,                  0.995,                0.90286,                0.46701,                0.35919,                0.99829,             0.00062538,             0.00062538,             0.00062538
                     77,                0.37848,                0.37219,                 1.0422,                0.97178,                      1,                  0.995,                0.90911,                0.49044,                0.35442,                 1.0191,             0.00062038,             0.00062038,             0.00062038
                     78,                0.55706,                0.47752,                 1.1324,                0.97178,                      1,                  0.995,                0.90911,                0.49044,                0.35442,                 1.0191,             0.00061538,             0.00061538,             0.00061538
                     79,                0.51165,                0.51989,                 1.1328,                0.97393,                      1,                  0.995,                0.89264,                0.49988,                0.35599,                 1.0295,             0.00061039,             0.00061039,             0.00061039
                     80,                0.36602,                0.37198,                  1.053,                0.97393,                      1,                  0.995,                0.89264,                0.49988,                0.35599,                 1.0295,             0.00060539,             0.00060539,             0.00060539
                     81,                0.48576,                0.46475,                 1.1341,                0.97807,                      1,                  0.995,                0.89263,                0.51491,                0.33834,                 1.0378,              0.0006004,              0.0006004,              0.0006004
                     82,                0.42808,                0.41505,                 1.1008,                0.97807,                      1,                  0.995,                0.89263,                0.51491,                0.33834,                 1.0378,             0.00059541,             0.00059541,             0.00059541
                     83,                0.37378,                0.38325,                 1.0379,                0.96924,                      1,                  0.995,                0.87616,                0.51426,                0.35203,                 1.0356,             0.00059041,             0.00059041,             0.00059041
                     84,                0.44331,                 0.4469,                 1.0976,                0.96924,                      1,                  0.995,                0.87616,                0.51426,                0.35203,                 1.0356,             0.00058542,             0.00058542,             0.00058542
                     85,                0.49567,                0.43043,                 1.0487,                0.93774,                0.99284,                  0.995,                0.88951,                0.50809,                 0.3712,                 1.0282,             0.00058042,             0.00058042,             0.00058042
                     86,                0.38868,                0.43804,                 1.0177,                0.93774,                0.99284,                  0.995,                0.88951,                0.50809,                 0.3712,                 1.0282,             0.00057542,             0.00057542,             0.00057542
                     87,                0.43311,                0.39796,                 1.0495,                0.93937,                0.98358,                  0.995,                0.88952,                0.51263,                 0.3546,                 1.0279,             0.00057043,             0.00057043,             0.00057043
                     88,                0.45698,                0.43763,                 1.1221,                0.93937,                0.98358,                  0.995,                0.88952,                0.51263,                 0.3546,                 1.0279,             0.00056543,             0.00056543,             0.00056543
                     89,                0.44544,                0.42518,                 1.0625,                0.97118,                      1,                  0.995,                0.88638,                0.51807,                0.33702,                 1.0244,             0.00056044,             0.00056044,             0.00056044
                     90,                0.42183,                0.36313,                  1.045,                0.97118,                      1,                  0.995,                0.88638,                0.51807,                0.33702,                 1.0244,             0.00055545,             0.00055545,             0.00055545
                     91,                0.46395,                0.44278,                 1.0559,                0.97826,                      1,                  0.995,                0.88638,                0.50212,                0.32013,                 1.0095,             0.00055045,             0.00055045,             0.00055045
                     92,                0.45318,                0.43552,                 1.0731,                0.97826,                      1,                  0.995,                0.88638,                0.50212,                0.32013,                 1.0095,             0.00054545,             0.00054545,             0.00054545
                     93,                0.41378,                0.37189,                 1.0629,                0.98105,                      1,                  0.995,                0.88638,                 0.4959,                0.29684,                 1.0105,             0.00054046,             0.00054046,             0.00054046
                     94,                0.52262,                0.41026,                 1.1142,                0.98105,                      1,                  0.995,                0.88638,                 0.4959,                0.29684,                 1.0105,             0.00053546,             0.00053546,             0.00053546
                     95,                0.43981,                0.39397,                 1.0473,                0.98188,                      1,                  0.995,                0.88115,                0.48206,                0.28605,                0.99609,             0.00053047,             0.00053047,             0.00053047
                     96,                0.47815,                0.45009,                 1.0722,                0.98188,                      1,                  0.995,                0.88115,                0.48206,                0.28605,                0.99609,             0.00052548,             0.00052548,             0.00052548
                     97,                0.39945,                0.37689,                 1.0251,                0.98074,                      1,                  0.995,                0.91008,                0.47339,                0.27864,                0.99123,             0.00052048,             0.00052048,             0.00052048
                     98,                0.47001,                0.39082,                 1.0902,                0.98074,                      1,                  0.995,                0.91008,                0.47339,                0.27864,                0.99123,             0.00051548,             0.00051548,             0.00051548
                     99,                0.35817,                0.34644,                0.99688,                0.97213,                      1,                  0.995,                0.91621,                0.46867,                0.28231,                0.99222,             0.00051049,             0.00051049,             0.00051049
                    100,                0.43787,                 0.4165,                 1.0168,                0.97213,                      1,                  0.995,                0.91621,                0.46867,                0.28231,                0.99222,              0.0005055,              0.0005055,              0.0005055
                    101,                0.41959,                0.40675,                 1.0509,                0.96908,                      1,                  0.995,                0.91621,                0.48628,                0.27153,                  1.001,              0.0005005,              0.0005005,              0.0005005
